"avg_delivery_delay_days","avg_review_score"
"8.30","1.0"
"7.18","5.0"
"9.39","5.0"
"12.34","5.0"
"11.18","5.0"
"6.49","5.0"
"11.89","5.0"
"3.80","5.0"
"21.67","4.0"
"8.81","4.0"
"7.53","1.0"
"23.57","5.0"
"10.90","4.0"
"10.11","1.0"
"7.81","5.0"
"3.12","5.0"
"13.23","5.0"
"34.12","4.0"
"9.04","4.0"
"5.92","5.0"
"11.63","1.0"
"10.78","5.0"
"8.92","4.0"
"7.30","5.0"
"4.20","5.0"
"12.16","3.0"
"17.92","4.0"
"23.08","5.0"
"12.49","5.0"
"7.73","5.0"
"11.67","4.0"
"8.19","5.0"
"6.96","3.0"
"15.73","5.0"
"12.42","5.0"
"10.79","5.0"
"10.60","5.0"
"4.95","5.0"
"11.37","5.0"
"13.31","1.0"
"9.06","5.0"
"8.35","5.0"
"5.09","3.0"
"21.50","5.0"
"7.25","5.0"
"19.41","5.0"
"7.03","5.0"
"1.85","5.0"
"13.02","5.0"
"10.63","4.0"
"9.69","5.0"
"9.31","5.0"
"27.90","1.0"
"21.27","5.0"
"7.86","5.0"
"6.94","5.0"
"18.27","5.0"
"24.41","4.0"
"2.40","5.0"
"20.28","5.0"
"5.96","5.0"
"10.24","5.0"
"8.04","5.0"
"18.65","5.0"
"5.64","5.0"
"16.87","5.0"
"12.15","4.0"
"9.94","3.0"
"6.12","5.0"
"15.31","1.0"
"6.47","4.0"
"8.16","4.0"
"9.99","5.0"
"24.26","4.0"
"7.80","3.0"
"26.38","5.0"
"8.34","4.0"
"7.96","2.0"
"23.67","1.0"
"19.62","1.0"
"12.04","5.0"
"13.05","5.0"
"21.90","2.0"
"4.37","4.0"
"4.98","4.0"
"11.63","3.0"
"4.15","5.0"
"13.95","5.0"
"24.97","4.0"
"20.12","1.0"
"6.92","2.0"
"8.53","5.0"
"5.76","5.0"
"9.20","5.0"
"4.90","5.0"
"8.25","5.0"
"10.00","5.0"
"3.14","1.0"
"22.32","5.0"
"27.96","5.0"
"12.08","1.0"
"15.31","2.0"
"3.14","5.0"
"8.09","2.0"
"32.49","2.0"
"15.38","5.0"
"9.77","5.0"
"7.35","5.0"
"6.79","4.0"
"16.05","5.0"
"12.20","4.0"
"14.53","5.0"
"13.21","5.0"
"5.02","5.0"
"6.07","5.0"
"7.19","4.0"
"9.03","4.0"
"10.42","1.0"
"41.08","1.0"
"8.18","5.0"
"9.66","5.0"
"12.02","4.0"
"7.65","5.0"
"20.95","5.0"
"14.92","4.0"
"5.39","3.0"
"5.66","5.0"
"5.67","3.0"
"10.69","5.0"
"3.46","5.0"
"5.84","5.0"
"7.45","5.0"
"6.06","5.0"
"16.97","4.5"
"13.11","5.0"
"1.42","5.0"
"9.08","5.0"
"12.72","4.0"
"1.26","5.0"
"1.36","5.0"
"7.86","4.0"
"11.96","3.0"
"8.01","5.0"
"2.84","3.0"
"7.97","5.0"
"16.97","3.0"
"3.66","5.0"
"5.64","3.0"
"21.27","2.0"
"8.00","4.0"
"7.58","5.0"
"54.70","1.0"
"26.29","5.0"
"10.63","3.0"
"18.34","4.0"
"9.60","5.0"
"18.16","5.0"
"3.20","5.0"
"4.93","5.0"
"8.16","4.0"
"7.12","5.0"
"9.41","5.0"
"4.67","4.0"
"2.58","5.0"
"8.53","4.0"
"7.28","2.0"
"8.09","5.0"
"41.55","1.0"
"21.33","4.0"
"7.57","5.0"
"6.11","1.0"
"13.92","2.0"
"8.13","5.0"
"5.09","5.0"
"3.16","5.0"
"6.94","4.0"
"5.48","5.0"
"23.91","5.0"
"1.96","5.0"
"4.40","4.0"
"11.64","5.0"
"1.86","3.0"
"7.04","4.0"
"11.05","5.0"
"3.99","5.0"
"13.67","1.0"
"4.00","4.0"
"8.16","5.0"
"11.39","2.0"
"20.93","3.0"
"17.78","1.0"
"3.00","5.0"
"16.24","5.0"
"2.01","5.0"
"2.04","5.0"
"6.60","5.0"
"25.95","4.0"
"4.67","4.0"
"16.93","5.0"
"6.52","3.0"
"6.70","5.0"
"12.84","5.0"
"10.47","4.0"
"8.18","5.0"
"8.49","5.0"
"57.93","1.0"
"11.96","5.0"
"3.32","5.0"
"5.10","3.0"
"12.14","5.0"
"8.32","5.0"
"9.41","5.0"
"6.01","4.0"
"9.24","5.0"
"7.43","3.0"
"14.70","4.0"
"21.05","3.0"
"7.48","5.0"
"8.14","5.0"
"8.54","5.0"
"8.14","3.0"
"4.45","5.0"
"8.89","5.0"
"14.96","2.0"
"13.44","5.0"
"1.87","5.0"
"3.27","5.0"
"14.89","5.0"
"10.84","4.0"
"16.89","4.0"
"20.97","1.0"
"13.09","5.0"
"14.62","5.0"
"9.89","3.0"
"11.94","5.0"
"8.21","5.0"
"14.04","5.0"
"17.81","3.0"
"12.03","1.0"
"7.80","5.0"
"5.03","5.0"
"9.26","5.0"
"5.14","5.0"
"5.00","5.0"
"8.42","5.0"
"9.01","2.0"
"21.97","5.0"
"12.89","2.0"
"18.98","5.0"
"11.01","5.0"
"5.36","5.0"
"14.25","5.0"
"10.35","5.0"
"13.89","5.0"
"3.63","5.0"
"6.97","4.0"
"13.16","5.0"
"19.08","5.0"
"24.93","5.0"
"2.10","1.0"
"7.32","5.0"
"26.30","5.0"
"6.82","4.0"
"12.55","5.0"
"20.00","5.0"
"10.51","4.0"
"4.16","5.0"
"6.10","5.0"
"8.00","5.0"
"15.40","5.0"
"1.91","2.0"
"5.25","5.0"
"9.90","3.0"
"10.39","1.0"
"7.28","5.0"
"10.24","4.0"
