"freight_cost","avg_review_score"
"122.93","5.00"
"38.84","5.00"
"74.62","5.00"
"59.10","5.00"
"6.41","5.00"
"48.20","5.00"
"37.41","5.00"
"71.02","5.00"
"63.31","5.00"
"83.93","5.00"
"63.06","5.00"
"1.58","5.00"
"41.48","5.00"
"66.68","5.00"
"37.25","5.00"
"83.34","5.00"
"99.97","5.00"
"62.28","5.00"
"74.20","5.00"
"54.69","5.00"
"5.49","5.00"
"65.58","5.00"
"72.33","5.00"
"38.50","5.00"
"88.06","5.00"
"74.24","5.00"
"4.61","5.00"
"2.53","5.00"
"43.58","5.00"
"84.71","5.00"
"116.30","5.00"
"67.93","5.00"
"118.23","5.00"
"65.41","5.00"
"52.37","5.00"
"63.92","5.00"
"51.77","5.00"
"187.43","5.00"
"109.55","5.00"
"6.42","5.00"
"41.14","5.00"
"50.26","5.00"
"116.06","5.00"
"36.94","5.00"
"61.10","5.00"
"222.38","5.00"
"50.95","5.00"
"134.25","5.00"
"70.75","5.00"
"52.26","5.00"
"39.33","5.00"
"51.16","5.00"
"93.19","5.00"
"133.84","5.00"
"162.64","5.00"
"36.78","5.00"
"63.16","5.00"
"48.34","5.00"
"79.38","5.00"
"65.47","5.00"
"71.46","5.00"
"127.51","5.00"
"61.68","5.00"
"6.63","5.00"
"108.37","5.00"
"43.62","5.00"
"126.51","5.00"
"70.73","5.00"
"32.83","5.00"
"1.15","5.00"
"248.54","5.00"
"35.60","5.00"
"61.25","5.00"
"64.85","5.00"
"70.74","5.00"
"1.44","5.00"
"55.84","5.00"
"53.46","5.00"
"50.04","5.00"
"71.19","5.00"
"33.77","5.00"
"71.49","5.00"
"56.73","5.00"
"43.98","5.00"
"7.23","5.00"
"66.31","5.00"
"74.92","5.00"
"118.53","5.00"
"115.15","5.00"
"148.94","5.00"
"30.92","5.00"
"57.94","5.00"
"49.70","5.00"
"124.07","5.00"
"51.67","5.00"
"30.24","5.00"
"62.75","5.00"
"93.28","5.00"
"84.30","5.00"
"78.93","5.00"
"68.42","5.00"
"82.42","5.00"
"39.18","5.00"
"34.34","5.00"
"82.86","5.00"
"45.97","5.00"
"132.15","5.00"
"69.40","5.00"
"53.75","5.00"
"99.65","5.00"
"60.94","5.00"
"95.44","5.00"
"47.35","5.00"
"67.62","5.00"
"95.47","5.00"
