"product_category","total_freight_cost"
"bed_bath_table","204693.04"
"health_beauty","182566.73"
"furniture_decor","172749.30"
"sports_leisure","168607.51"
"computers_accessories","147318.08"
"housewares","146149.11"
"watches_gifts","100535.93"
"garden_tools","98962.75"
"auto","92664.21"
"cool_stuff","84039.10"
